datetime,inlet,outlet,outfall
2026-03-05 14:00,31.025,37.2551,38.194
2026-03-05 15:00,31.0591,37.3057,38.2167
2026-03-05 16:00,31.125,37.3727,38.28
2026-03-05 17:00,31.1333,37.358,38.2643
2026-03-05 18:00,31.1173,37.3884,38.2583
2026-03-05 19:00,31.1044,37.3906,38.2063
2026-03-05 20:00,31.025,37.3576,38.1948
2026-03-05 21:00,30.9958,37.325,38.1789
2026-03-05 22:00,30.92,37.2875,38.1576
2026-03-05 23:00,30.8483,37.1851,38.0796
2026-03-06 00:00,30.8333,37.1453,37.998
2026-03-06 01:00,30.7798,37.0826,37.954
2026-03-06 02:00,30.7354,37.0104,37.9387
2026-03-06 03:00,30.7781,37.01,37.9373
2026-03-06 04:00,30.7882,37.0443,37.872
2026-03-06 05:00,30.7983,37.0267,37.8754
2026-03-06 06:00,30.7675,36.9795,37.8553
2026-03-06 07:00,30.7779,37.0219,37.8797
2026-03-06 08:00,30.7588,37.0206,37.9131
2026-03-06 09:00,30.725,36.9852,37.8804
2026-03-06 10:00,30.7109,36.9915,37.9116
2026-03-06 11:00,30.78,37.0836,38.0053
2026-03-06 12:00,30.8783,37.1946,38.1072
2026-03-06 13:00,30.9827,37.2516,38.1669
2026-03-06 14:00,31.0574,37.3224,38.2185
2026-03-06 15:00,31.1327,37.3738,38.2286
2026-03-06 16:00,31.185,37.4585,38.3227
2026-03-06 17:00,31.2398,37.5156,38.3767
2026-03-06 18:00,31.2042,37.4563,38.3604
2026-03-06 19:00,31.213,37.4818,38.32
2026-03-06 20:00,31.0865,37.4028,38.2357
2026-03-06 21:00,31.1031,37.4108,38.2275
2026-03-06 22:00,31.1,37.4216,38.2254
2026-03-06 23:00,31.1,37.3943,38.196
2026-03-07 00:00,31.0309,37.3004,38.1577
2026-03-07 01:00,31.0284,37.3067,38.1507
2026-03-07 02:00,31.0696,37.3369,38.1132
2026-03-07 03:00,31.0109,37.2652,38.067
2026-03-07 04:00,30.9789,37.2045,38.04
2026-03-07 05:00,31.0071,37.2354,38.0417
2026-03-07 06:00,30.9956,37.2167,37.9968
2026-03-07 07:00,30.9453,37.1787,37.9947
2026-03-07 08:00,30.9739,37.2217,38.0633
2026-03-07 09:00,30.9702,37.2349,38.123
2026-03-07 10:00,30.9641,37.2703,38.1549
2026-03-07 11:00,31.0063,37.3104,38.23
2026-03-07 12:00,31.0115,37.3125,38.2245
2026-03-07 13:00,31.0125,37.3125,38.2222
